N°	Pathologie / Indication	Traitement	Médicament	Posologie (enfant) sécurisée	Symptômes
27	Épilepsie (crises partielles)	Antiépileptique	Carbamazépine (oral)	Initial : 5 mg/kg/j ; Entretien : 10 à 20 mg/kg/jour	Crises focales (motrices, sensorielles, automatismes)
28	Épilepsie (crises généralisées)	Antiépileptique	Phénytoïne (oral)	4 à 8 mg/kg/jour divisés en 2 prises	Perte de conscience, rigidité, convulsions
29	Épilepsie (crises généralisées)	Antiépileptique	Phénobarbital (oral)	3 à 5 mg/kg/jour en 1 ou 2 prises	Crises tonico-cloniques
30	Épilepsie (absence, myoclonies)	Antiépileptique	Acide valproïque (Valproate) (oral)	15 à 30 mg/kg/jour divisés en 2 prises	Absences, myoclonies
31	Épilepsie (crises d'absence typique)	Antiépileptique	Éthosuximide (oral)	15 à 30 mg/kg/jour divisés en 2 prises	Absences brèves (<10s), automatismes simples
32	État de mal convulsif	Anticonvulsivant (rectal)	Diazépam (gel/solution rectale)	0,5 mg/kg par voie rectale (max 10 mg)	Crises répétées sans reprise de conscience (>=5 min)
33	État de mal convulsif	Anticonvulsivant (IV)	Lorazépam (IV)	0,05 à 0,1 mg/kg IV lente (max 4 mg)	Convulsions prolongées (>10 min)
34	Ascaridiose (Ascaris)	Anthelminthique	Albendazole (oral)	>2 ans : 400 mg dose unique ; 6 mois-2 ans (<10kg) : 200 mg unique	Douleurs abdominales, nausées, Loeffler (toux)
35	Oxyurose (Enterobius)	Anthelminthique	Mebendazole (oral)	>6 mois : 100 mg en dose unique (à répéter après 2-4 semaines)	Prurit anal (nocturne), irritabilité
36	Oxyurose	Anthelminthique	Pyrantel (oral)	10 à 12 mg/kg en dose unique (à répéter après 2-4 semaines)	Prurit anal
37	Trichocéphalose (Trichuris)	Anthelminthique	Albendazole (oral)	>2 ans : 400 mg/jour pendant 3 jours	Diarrhée (parfois sanglante), prolapsus rectal
38	Téniasis (Taenia)	Anticestode	Praziquantel (oral)	5 à 10 mg/kg en dose unique	Émission de segments du ver, douleurs abdominales
39	Hyménolépiase (H. nana)	Anticestode	Praziquantel (oral)	15 à 25 mg/kg en dose unique	Diarrhée, douleurs abdominales
40	Filariose lymphatique	Antifilarien	Diéthylcarbamazine (DEC) (oral)	6 mg/kg/jour pendant 12 jours (selon protocole OMS)	Lymphœdème, éléphantiasis, hydrocèle
41	Onchocercose	Antifilarien	Ivermectine (oral)	150 microgrammes/kg en dose unique (répéter tous les 6-12 mois)	Prurit, nodules sous-cutanés, cécité (rivière)
42	Schistosomiase	Antischistosomal	Praziquantel (oral)	40 mg/kg en dose unique (parfois divisée en 2 prises)	Hématurie (urinaire), hépatosplénomégalie (intestinale)
43	Fasciolose	Antitrématode	Triclabendazole (oral)	10 mg/kg en dose unique (parfois 2 doses à 12h d'intervalle)	Douleurs abdominales, fièvre, hépatomégalie
44	Angine streptococcique	Pénicilline	Amoxicilline (oral)	50 mg/kg/jour divisés en 2 prises pendant 6 jours	Mal de gorge, fièvre, adénopathies cervicales
45	Angine streptococcique (prophylaxie RAA)	Pénicilline retard	Benzathine benzylpénicilline (IM)	<30 kg : 600 000 UI ; >=30 kg : 1,2 MUI en dose unique IM	Antécédents de RAA
46	Otite moyenne aiguë	Pénicilline	Amoxicilline (oral)	80 à 90 mg/kg/jour divisés en 2 ou 3 prises pendant 5 jours	Otalgie, fièvre, irritabilité
47	Otite moyenne (échec)	Pénicilline + inhibiteur	Amoxicilline + acide clavulanique (oral)	80 mg/kg/j (en amoxicilline) divisés en 2 ou 3 prises	Persistance des symptômes
48	Pneumonie (non grave)	Pénicilline	Amoxicilline (oral)	80 à 90 mg/kg/jour divisés en 2 prises pendant 5 jours	Toux, fièvre, tachypnée
49	Méningite bactérienne	Céphalosporine 3G	Ceftriaxone (IV)	100 mg/kg une fois par jour (ou divisé en 2 prises)	Fièvre, céphalées, raideur de nuque, troubles de conscience
50	Méningite néonatale	Aminoside + Pénicilline	Ampicilline + Gentamicine (IV)	Ampicilline : 50 mg/kg toutes les 6-8h ; Gentamicine : 4-5 mg/kg/24h	Fièvre ou hypothermie, léthargie, refus de téter, convulsions
51	Septicémie néonatale	Bithérapie IV	Ampicilline + Gentamicine (IV)	Ampicilline : 50 mg/kg toutes les 8h ; Gentamicine : 4-5 mg/kg/24h	Signes non spécifiques (léthargie, instabilité thermique, bradycardie)
52	Infection urinaire (fille)	Sulfamide	Co-trimoxazole (SMX+TMP) (oral)	30 mg SMX + 6 mg TMP / kg / jour divisés en 2 prises	Brûlures mictionnelles, pollakiurie, fièvre
53	Cystite aiguë	Nitrofurane	Nitrofurantoïne (oral)	3 à 5 mg/kg/jour divisés en 4 prises pendant 3 à 5 jours	Dysurie, pollakiurie, urines troubles
54	Impétigo	Antibiotique topique	Mupirocine (pommade)	2 à 3 applications par jour pendant 5 à 7 jours (si localisé)	Vésicules puis croûtes jaune miel (visage, membres)
55	Infection staphylococcique cutanée	Pénicilline anti-staphylococcique	Cloxacilline (oral/IV)	50 à 100 mg/kg/jour divisés en 3 ou 4 prises (max 4 g/j)	Furoncles, abcès, cellulite
56	Infection à Clostridium (anaérobie)	Nitro-imidazolé	Métronidazole (oral/IV)	30 mg/kg/jour divisés en 3 prises pendant 10 jours	Diarrhée post-antibiotique (C. difficile), gangrène gazeuse
57	Choléra	Cycline (>8 ans)	Doxycycline (oral)	Azithromycine 20 mg/kg unique (ou Doxycycline 4-6 mg/kg unique)	Diarrhée aqueuse profuse (eau de riz), déshydratation rapide
58	Peste	Aminoside	Gentamicine (IV/IM)	7,5 mg/kg une fois par jour pendant 7 à 10 jours	Fièvre élevée, adénopathies douloureuses (bubon), septicémie
59	Brucellose	Cycline + Rifamycine	Doxycycline + Rifampicine (oral)	Selon poids/âge (Doxycycline contre-indiquée <8 ans)	Fièvre ondulante, sueurs, arthralgies, hépatosplénomégalie
60	Typhoïde (fièvre typhoïde)	Fluoroquinolone	Ciprofloxacine (oral)	Azithromycine : 10 à 20 mg/kg/jour pendant 7 jours	Fièvre progressive, syndrome abdominal, roséole
61	Shigellose	Fluoroquinolone	Ciprofloxacine (oral)	30 mg/kg/jour divisés en 2 prises pendant 3 jours	Diarrhée sanglante (dysenterie), ténesme, fièvre
62	Coqueluche	Macrolide	Érythromycine (oral)	Azithromycine : 10 mg/kg/j à J1 puis 5 mg/kg/j de J2 à J5	Quintes de toux, reprise inspiratoire "coq", vomissements
63	Diphtérie	Macrolide + Antitoxine	Érythromycine + Antitoxine diphtérique (IV)	Érythromycine : 40 à 50 mg/kg/jour divisés en 4 prises pendant 14j	Fausse membrane pharyngée, dysphonie, adénopathies "cou taureau")
64	Trachome (conjonctivite chronique)	Macrolide (oral)	Azithromycine (oral)	20 mg/kg en dose unique (max 1 g)	Conjonctivite folliculaire, évolution vers cécité
65	Syphilis	Pénicilline retard	Benzathine benzylpénicilline (IM)	Selon protocole national/OMS (ex: 50 000 UI/kg IM unique)	Chancre (primaire), rash (secondaire), lésions tardives
66	Infections nosocomiales (SARM)	Glycopeptide	Vancomycine (IV)	40 à 60 mg/kg/jour divisés en 4 perfusions	Infections à staphylocoque résistant, septicémie
67	Lèpre paucibacillaire (PB)	Blister OMS (multithérapie)	Dapsone + Rifampicine (oral)	Selon blister pédiatrique OMS (doses ajustées à l'âge)	Hypopigmentation (ou érythémateuse), anesthésie de la plaque
68	Lèpre multibacillaire (MB)	Blister OMS (multithérapie)	Dapsone + Rifampicine + Clofazimine (oral)	Selon blister pédiatrique OMS (doses ajustées à l'âge)	Nombreuses lésions, nodules, infiltration diffuse
69	Tuberculose (pulmonaire)	Quadrithérapie (associations fixes)	Isoniazide + Rifampicine + Pyrazinamide + Éthambutol (oral)	Selon protocole national (FDC pédiatrique ajustée au poids)	Toux >3 semaines, fièvre, sueurs nocturnes, amaigrissement
70	Tuberculose latente	Monothérapie (préventive)	Isoniazide (oral)	10 mg/kg/jour (7 à 15 mg/kg) pendant 6 mois	Asymptomatique, IDR positive
71	Tuberculose multirésistante (MDR-TB)	2ème ligne (selon antibiogramme)	Amikacine, Ofloxacine, Éthionamide, Cyclosérine (oral/IV)	Selon protocole spécialisé et antibiogramme	Non-réponse au traitement de 1ère ligne
72	Candidose oropharyngée (muguet)	Antifongique topique	Nystatine (suspension buvable)	100 000 UI 4 fois par jour (à garder en bouche) pendant 5-7j	Plaques blanches buccales, douleur, dysphagie
73	Candidose œsophagienne	Antifongique systémique	Fluconazole (oral)	6 à 12 mg/kg à J1, puis 3 à 6 mg/kg/jour pendant 14-21j	Dysphagie, odynophagie, douleurs rétrosternales
74	Cryptococcose (neuroméningée)	Amphotéricine B + Flucytosine (IV puis oral)	Ampho B + Flucytosine (induction); Fluconazole (entretien)	Selon protocole hospitalier hautement spécialisé	Méningite subaiguë, céphalées, fièvre, troubles visuels
75	Teignes (tinea capitis)	Antifongique systémique	Griséofulvine (oral)	15 à 20 mg/kg/jour pendant 6 à 8 semaines	Alopécie, squames, plaques (sur cuir chevelu)
76	Dermatophytose cutanée	Antifongique topique	Terbinafine (crème)	1 à 2 applications par jour pendant 2 à 4 semaines	Lésions annulaires, prurit, squames
77	Leishmaniose viscérale (Kala-azar)	Antimonié ou Amphotéricine B	Amphotéricine B liposomale (IV)	Selon protocole régional OMS / MSF	Fièvre prolongée, splénomégalie, amaigrissement, anémie
78	Sporotrichose	Antifongique oral	Itraconazole (oral)	5 mg/kg/jour (max 200 mg/j)	Nodules sous-cutanés, adénopathies (lymphatique)
79	Herpès simplex (HSV)	Antiviral	Aciclovir (oral)	Gingivostomatite : 20 mg/kg (max 400 mg) 4x/j pendant 5-7j	Vésicules douloureuses (lèvres, génitales), récurrences
80	Zona (Herpès zoster)	Antiviral	Aciclovir (oral)	20 mg/kg (max 800 mg) 4 fois par jour pendant 7 jours	Rash vésiculaire douloureux (métamérique), névralgie post-zostérienne
81	Grippe (H1N1)	Antiviral	Oseltamivir (oral)	Selon le poids (ex: <15 kg : 30 mg 2 fois par jour pendant 5j)	Fièvre, toux, myalgies, asthénie, signes respiratoires
82	VIH (nourrisson)	ART 2 NRTI + 1 NNRTI	Zidovudine (AZT) + Lamivudine (3TC) + Névirapine (NVP) (oral)	Selon lignes directrices nationales / OMS actuelles	Infections opportunistes, retard de croissance
83	VIH (enfant >3 ans ou >10 kg)	ART 2 NRTI + 1 NNRTI	Éfavirenz (EFZ) (oral)	Selon protocole spécialisé ajusté au poids	Immunodéficience, infections opportunistes
84	VIH (boosté par IP)	ART (2 NRTI + IP boosté)	Atazanavir + Ritonavir (oral)	Selon protocole spécialisé ajusté au poids	Échec 1ère ligne, résistance aux NNRTI
85	VIH (association fixe)	ART (association fixe)	Lopinavir + Ritonavir (LPV/r) (oral)	Selon protocole spécialisé (granulés ou cp selon poids)	Simplification de l'ART
86	PTME (prévention mère-enfant)	ART postnatal	Zidovudine (AZT) (oral)	4 mg/kg toutes les 12 heures pendant 4 à 6 semaines	Nouveau-né de mère VIH+
87	Amibiase intestinale	Nitro‑imidazolé + Amibiocides	Métronidazole + Diloxanide (oral)	35 à 50 mg/kg/jour divisés en 3 prises pendant 7 à 10 jours	Diarrhée glairo‑sanglante, douleurs abdominales, ténesme
88	Giardiase	Nitro‑imidazolé	Métronidazole (oral)	15 à 30 mg/kg/jour divisés en 3 prises pendant 5 à 7 jours	Diarrhée aqueuse, ballonnement, douleurs épigastriques
89	Paludisme non compliqué (P. falciparum)	ACT	Artéméther + Luméfantrine (AL) (oral)	Selon le poids (ex: 5 à <15 kg : 1 cp disp. x 2/jour pendant 3 jours)	Fièvre, céphalées, courbatures, anémie
90	Paludisme grave (pré-hospitalier)	Artésunate rectal (pré‑transfert)	Artésunate (capsule rectale)	<6 ans (<20 kg) : 10 mg/kg en capsule rectale unique avant transfert	Prostration, troubles de conscience, convulsions, anémie sévère
91	Paludisme grave (hospitalier)	Artésunate IV	Artésunate (IV)	Enfant < 20 kg : 3 mg/kg à H0, H12, H24 puis une fois par jour	Paludisme grave documenté
92	Paludisme grave (alternative)	Quinine IV	Quinine (perfusion)	Charge : 20 mg/kg sur 4h, puis Entretien : 10 mg/kg toutes les 8h	Idem (si artésunate non disponible)
93	Paludisme à P. vivax	Chloroquine (traitement)	Chloroquine (oral)	Total de 25 mg base/kg sur 3 jours (J1: 10 mg, J2: 10 mg, J3: 5 mg)	Fièvre, accès paroxystiques (48h)
94	P. vivax / P. ovale (guérison radicale)	Primaquine	Primaquine (oral)	0,25 à 0,5 mg/kg/jour pendant 14 jours (vérifier statut G6PD)	Risque de rechute hépatique
95	Prophylaxie paludisme (>5 kg)	Méfloquine	Méfloquine (oral)	5 mg base/kg une fois par semaine (selon poids)	Prévention chez le voyageur
96	Leucémie lymphoblastique aiguë (LLA)	Chimiothérapie	Vincristine (IV)	Selon protocole d'oncologie pédiatrique	Pâleur, asthénie, fièvre, purpura, hépatosplénomégalie
97	LLA	Chimiothérapie	Méthotrexate (oral)	Selon protocole d'oncologie pédiatrique	Idem
98	Lymphome de Burkitt	Polychimiothérapie	Cyclophosphamide (IV)	Selon protocole d'oncologie pédiatrique	Tumeur abdominale/maxillo‑faciale, fièvre
99	Tumeur de Wilms (néphroblastome)	Chimiothérapie	Dactinomycine (IV)	Selon protocole d'oncologie pédiatrique	Masse abdominale (indolore)
100	Hyperuricémie (post-chimiothérapie)	Hypo‑uricémiant	Allopurinol (oral)	10 mg/kg/jour divisés en 3 prises (max 300 mg/j)	Taux d'urate élevé, risque d'IRA
101	Cystite hémorragique (post-cyclophosphamide)	Uroprotecteur	Mesna (oral/IV)	Calculé selon la dose de Cyclophosphamide	Hématurie, douleurs pelviennes
102	Anémie ferriprive	Fer oral	Sels ferreux (Fer) (oral)	3 à 6 mg/kg/jour de fer élément divisés en 2 ou 3 prises	Pâleur, asthénie, koïlonychie, tachycardie
103	Anémie mégaloblastique (carence B9)	Folates	Acide folique (oral)	5 mg une fois par jour pendant several mois	Pâleur, glossite, troubles digestifs
104	Anémie pernicieuse (carence B12)	Vitamine B12	Hydroxocobalamine (Vit B12) (IM)	Selon protocole (ex: 100 à 1000 mcg IM tous les 2j puis entretien)	Pâleur, neuropathie, ataxie (corde latérale)
105	Hémorragie du nouveau-né (MK)	Vitamine K1	Phytoménadione (Vitamine K1) (IM)	Prévention : 1 mg IM unique à la naissance	Purpura, hémorragies (digestives, cérébrales)
106	Drépanocytose	Hydroxycarbamide	Hydroxycarbamide (oral)	Initial : 15 mg/kg/jour (ajusté selon tolérance hématologique)	Crises vaso‑occlusives, anémie, susceptibilité infectieuse
107	Hypertension artérielle (HTA)	IEC	Énalapril (oral)	Initial : 0,1 mg/kg/jour en 1 ou 2 prises	Pression artérielle élevée, souvent asymptomatique
108	Insuffisance cardiaque	Digitalique	Digoxine (oral)	Selon protocole de digitalisation pédiatrique (très strict)	Dyspnée, orthopnée, œdèmes
109	Œdèmes aigus	Diurétique de l'anse	Furosémide (oral/IV)	1 à 2 mg/kg par prise (toutes les 12 à 24 heures)	Œdème pulmonaire, œdèmes généralisés
110	Choc cardiogénique	Catécholamine	Dopamine (IV)	2 à 20 microgrammes/kg/minute (perfusion continue stricte)	Hypotension, signes de bas débit
111	Crise d'asthme	β2‑agoniste (inhalation)	Salbutamol (aérosol)	2 à 10 bouffées via chambre d'inhalation à répéter	Dyspnée expiratoire, sibilants, toux, oppression thoracique
112	Crise d'asthme sévère	Épinéphrine SC (si accès aigu IV non disponible)	Épinéphrine (Adrénaline) (SC)	Adrénaline IM si réfractaire (0,01 mg/kg) ou Corticoïdes IV	Crise d'asthme sévère (distress, SpO₂ bas)
113	Asthme chronique (entretien)	Corticostéroïde inhalé	Budésonide (inhalation)	Selon palier (ex: 100 à 400 microgrammes 2 fois par jour)	Asthme chronique (entretien)
114	Kératite herpétique	Antiviral topique	Aciclovir pommade 3%	1 application dans le sac conjonctival 5 fois par jour	Lésions dendritiques cornéennes douloureuses
115	Conjonctivite bactérienne	Antibiotique topique	Tétracycline pommade 1%	1 application dans le sac conjonctival 2 ou 3 fois par jour	Œil rouge, sécrétions purulentes
116	Glaucome chronique	Parasympathomimétique	Pilocarpine collyre 2%	Selon protocole ophtalmique spécialisé	Hypertonie oculaire, baisse de vision
117	Anesthésie de la cornée	Anesthésique local	Tétracaïne collyre 0,5%	1 goutte avant procédure (ne pas laisser au patient)	Douleur oculaire (corps étranger, suture)
118	Gale (scabiose)	Scabicide	Perméthrine 5% crème	1 application unique sur tout le corps (laisser agir 8-12h puis rincer)	Prurit intense (nocturne), sillons, lésions des espaces interdigitaux
119	Poux (pédiculose du cuir chevelu)	Pédiculicide	Perméthrine 1% lotion	1 application sur cheveux humides (laisser 10 min puis rincer)	Prurit du cuir chevelu, lentes (villains) collées aux cheveux
120	Gale (alternative >2 ans)	Scabicide (alternative)	Benzoate de benzyle 25% lotion	Application sur tout le corps (diluer 1/2 chez l'enfant de 2-5 ans)	Idem (scabicide à effet plus irritant)
121	Eczéma atopique	Anti‑inflammatoire topique	Hydrocortisone 1% crème	1 à 2 applications par jour en couche mince (éviter le visage)	Érythème, squames, prurit (visage, plis)
122	Brûlures (superficielles)	Antibactérien topique	Sulfadiazine argentique 1% crème (>2 mois)	1 application par jour sous pansement stérile	Plaie brûlée, risque infectieux
123	Impétigo (superficiel)	Antibiotique topique	Mupirocine 2% pommade	2 à 3 applications par jour pendant 5 à 7 jours	Vésicules puis croûtes jaune miel
124	Acné (vulgaris)	Kératolytique	Peroxyde de benzoyle 5% gel	1 application par jour le soir sur les zones atteintes	Comédons (ouverts/fermés), papules, pustules (visage, tronc)
125	Psoriasis (chronique)	Kératolytique	Acide salicylique 5% solution	1 à 2 applications par jour sur les plaques épaisses	Plaques érythémato‑squameuses
126	Condylomes (anogénitaux)	Cytolytique topique	Résine de podophylle 10‑25%	Application stricte par un soignant sur la lésion, rincer après 1-4h	"Végétations molles (""verrues génitales"")"
127	Ulcère gastroduodénal	IPP	Oméprazole (oral)	1 mg/kg une fois par jour (max 20 mg/j)	Douleur épigastrique (brûlure), régurgitations acides
128	Nausées / vomissements (post-chimiothérapie)	Anti‑5‑HT3	Ondansétron (>1 mois) (oral/IV)	0,15 mg/kg par prise toutes les 8 heures (max 8 mg/prise)	Nausées et vomissements
129	Nausées / vomissements (communs)	Antiémétique	Métoclopramide (sauf nouveau‑né) (oral/IV)	⚠️ Métoclopramide contre-indiqué chez l'enfant	Nausées, vomissements
130	Constipation (fonctionnelle)	Osmotique	Lactulose (oral)	5 à 10 ml/j (nourrisson) ; 10 à 15 ml/j (enfant) en 1 prise	Selles dures, rares (<=3/semaine)
131	Déshydratation (diarrhée aiguë)	SRO	Sels de réhydratation orale (SRO) (oral)	50 à 100 ml/kg sur 4 heures (puis compenser chaque selle)	Soif, sécheresse des muqueuses, pli cutané, oligurie
132	Diarrhée aiguë (adjuvant)	Zinc	Sulfate de zinc (oral)	<6 mois : 10 mg/j ; >=6 mois : 20 mg/j pendant 10 à 14 jours	Diarrhée (durée réduite)
133	Diabète de type 1	Insuline SC	Insuline soluble + intermédiaire (SC)	Selon protocole d'endocrinologie pédiatrique (titration stricte)	Polyurie, polydipsie, amaigrissement, hyperglycémie
134	Diabète de type 2 (>10 ans)	Biguanide	Metformine (oral)	Initial : 500 mg 1 fois par jour (max 2000 mg/jour)	Hyperglycémie chronique, résistance à l'insuline
135	Hypoglycémie sévère	Glucagon	Glucagon (IM/SC)	<25 kg : 0,5 mg ; >=25 kg : 1 mg en dose unique IM/SC	Sueurs, tremblements, troubles de conscience, coma
136	Insuffisance surrénale (cortisol)	Corticostéroïde	Hydrocortisone (oral)	8 à 15 mg/m²/jour divisés en 3 prises	Asthénie, hypotension, hyponatrémie
137	Insuffisance surrénale (aldostérone)	Minéralocorticoïde	Fludrocortisone (oral)	50 à 200 microgrammes une fois par jour	Hyponatrémie, hyperkaliémie, hypotension
138	Hypothyroïdie	Hormone thyroïdienne	Lévothyroxine (oral)	10 à 15 microgrammes/kg une fois par jour (à ajuster selon TSH)	Fatigue, frilosité, constipation, retard staturopondéral
139	Apnée du prématuré	Méthylxanthine	Citrate de caféine (oral/IV)	Charge : 20 mg/kg ; Entretien : 5 à 10 mg/kg une fois par jour	Pauses respiratoires (>20s), bradycardie, désaturation
140	Persistance du canal artériel	AINS (IV)	Ibuprofène (IV)	J1 : 10 mg/kg ; J2 et J3 : 5 mg/kg toutes les 24 heures	Signes d'insuffisance cardiaque, souffle continu
141	Détresse respiratoire du prématuré	Surfactant	Surfactant (intratrachéal)	100 à 200 mg/kg par instillation endotrachéale directe	Tachypnée, tirage, cyanose, hyaline
142	Rachitisme (carence Vitamine D)	Vitamine D3	Cholécalciférol (Vitamine D3) (oral)	1000 à 5000 UI une fois par jour pendant 3 mois	Douleurs osseuses, hypotonie, bossing frontal, genu varum/valgum
143	Scorbut (carence Vitamine C)	Vitamine C	Acide ascorbique (Vitamine C) (oral)	100 mg 3 fois par jour pendant au moins 2 semaines	Asthénie, gingivite hémorragique, hématomes, douleurs des jambes
144	Béribéri (carence Vitamine B1)	Vitamine B1	Thiamine (Vitamine B1) (oral/IM/IV)	Cas graves : 25 à 100 mg IV/IM ; puis Relais oral : 10 à 25 mg/j	Neuropathie, insuffisance cardiaque (wet), œdèmes
145	Neuropathie (isoniazide)	Vitamine B6 (prophylaxie)	Pyridoxine (Vitamine B6) (oral)	5 à 10 mg une fois par jour	Paresthésies (mains, pieds)
146	Xérophtalmie (carence Vitamine A)	Vitamine A	Rétinol (Vitamine A) (oral)	<6 mois : 50k UI ; 6-12 mois : 100k UI ; >12 mois : 200k UI (J1, J2, J8)	Cécité crépusculaire (nyctalopie), sécheresse conjonctivale & cornée
147	Goitre endémique (carence iode)	Iode retard	Iode (huile iodée) (oral)	<1 an : 190 mg ; 1 à 6 ans : 380 mg ; >6 ans : 570 mg (capsule annuelle)	Goitre (augmentation du volume thyroïdien) (parfois mixœdème)
148	Otite externe (aiguë)	Fluoroquinolone topique	Ciprofloxacine 0,3% (gouttes auriculaires)	3 à 4 gouttes dans l'oreille atteinte 2 fois par jour pendant 7j	Douleur/pression du pavillon (tragus), écoulement
149	Rhinite allergique (persistante)	Corticostéroïde nasal	Budésonide (spray nasal)	1 à 2 pulvérisations dans chaque narine 1 ou 2 fois par jour	Éternuements, rhinorrhée claire, prurit nasal/oculaire, obstruction nasale
150	Congestion nasale (rhume)	Décongestionnant local (vasoconstricteur)	Xylométazoline 0,05% (>3 mois) (spray nasal)	1 pulvérisation dans chaque narine 2 à 3 fois par jour (max 3-5j)	Obstruction nasale, gène respiratoire
151	Choc hypovolémique (urgences)	Remplissage vasculaire (cristalloïde)	Ringer lactate ou NaCl 0,9% (perfusion IV)	Bolus de 10 à 20 ml/kg en 15-30 minutes, à réévaluer	Hypotension, tachycardie, extrémités froides, marbrures
152	Hypokaliémie modérée (<= 3 mEq/L)	Potassium oral	KCl (poudre/solution) (oral)	1 à 4 mmol/kg/jour divisés en 2 ou 3 prises	Faiblesse musculaire, troubles du rythme
153	Hypokaliémie sévère (arythmique)	Potassium IV	KCl 15% (2 mmol/ml) (perfusion IV diluée)	0,2 à 0,3 mmol/kg/heure (perfusion lente sous ECG, JAMAIS DIRECT)	Arythmies, paralysie, alcalose
